,,,Place,,Conference,,Division,,,,,,All-Star,,Margin,,Month,,,,,,
Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,‰‰_3,‰‰´10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Golden State Warriors,67-15,36-5,31-10,25-5,42-10,1-Sep,2-Aug,2-Aug,15-3,14-2,13-5,47-9,20-6,4-Mar,48-6,1-Feb,14-1,13-3,2-Dec,3-Sep,4-Dec,1-May
2,San Antonio Spurs,61-21,31-10,30-11,25-5,36-16,1-Sep,2-Aug,2-Aug,13-5,6-Dec,5-Nov,43-13,18-8,5-Aug,30-8,Apr-00,4-Nov,2-Dec,5-Oct,2-Aug,13-4,4-Mar
3,Houston Rockets,55-27,30-11,25-16,19-11,36-16,2-Aug,5-May,4-Jun,13-5,13-5,6-Oct,40-18,15-9,3-Aug,30-11,1-Feb,6-Sep,15-2,7-Oct,3-Jun,6-Sep,2-Apr
4,Boston Celtics,53-29,30-11,23-18,36-16,17-13,5-Nov,7-Nov,14-4,5-May,4-Jun,4-Jun,37-20,16-9,6-Jul,17-11,1-Feb,7-Aug,6-Oct,4-Oct,4-Aug,5-Nov,2-Apr
5,Cleveland Cavaliers,51-31,31-10,20-21,35-17,16-14,16-2,8-Aug,7-Nov,4-Jun,4-Jun,6-Apr,39-16,15-Dec,4-Mar,25-15,Mar-00,3-Oct,4-Dec,8-Jul,2-Sep,10-Jul,4-Mar
6,Los Angeles Clippers,51-31,29-12,22-19,20-10,31-21,4-Jun,5-May,1-Sep,8-Oct,6-Oct,7-Nov,35-21,16-10,6-Mar,33-14,Mar-00,5-Nov,9-Aug,4-Aug,5-Jun,8-Oct,May-00
7,Toronto Raptors,51-31,28-13,23-18,34-18,17-13,14-2,8-Oct,8-Oct,2-Aug,7-Mar,4-Jun,33-24,18-7,7-Aug,26-8,1-Feb,5-Oct,4-Oct,9-Aug,5-Jun,6-Oct,1-May
8,Utah Jazz,51-31,29-12,22-19,20-10,31-21,4-Jun,4-Jun,2-Aug,8-Aug,6-Dec,7-Nov,35-22,16-9,4-Apr,23-10,2-Jan,6-Oct,5-Oct,6-Sep,4-Jul,6-Oct,2-Apr
9,Washington Wizards,49-33,30-11,19-22,32-20,17-13,6-Dec,6-Dec,8-Aug,4-Jun,2-Aug,7-Mar,34-21,15-12,6-Sep,18-12,0-2,9-Jun,5-Oct,4-Dec,3-Jul,7-Nov,3-Mar
10,Oklahoma City Thunder,47-35,28-13,19-22,18-12,29-23,1-Sep,6-Apr,5-May,6-Oct,10-Aug,7-Nov,32-25,15-10,7-Dec,23-21,Mar-00,8-Sep,5-Sep,8-Jul,4-Jul,7-Aug,3-Apr
11,Atlanta Hawks,43-39,23-18,20-21,30-22,13-17,13-5,7-Nov,10-Jun,6-Apr,8-Feb,3-Jul,32-24,15-Nov,8-Jul,17-21,Mar-00,9-Jul,7-Jul,4-Nov,6-May,10-Jun,3-Apr
12,Memphis Grizzlies,43-39,24-17,19-22,15-15,28-24,5-May,5-May,5-May,7-Nov,9-Sep,8-Aug,34-24,15-Sep,5-Jul,17-20,1-Feb,7-Sep,6-Nov,7-Jul,4-Jul,9-Jun,5-Jan
13,Indiana Pacers,42-40,29-12,13-28,26-26,16-14,10-Aug,8-Aug,8-Oct,5-May,4-Jun,5-May,29-28,13-12,2-Apr,23-19,2-Jan,8-Aug,8-Jul,4-Sep,7-Jun,10-Jun,1-May
14,Milwaukee Bucks,42-40,23-18,19-22,27-25,15-15,8-Oct,6-Oct,11-Jul,6-Apr,3-Jul,6-Apr,25-30,17-10,2-Aug,21-22,2-Jan,6-Jul,8-Aug,10-May,6-May,14-4,4-Feb
15,Chicago Bulls,41-41,25-16,16-25,28-24,13-17,8-Oct,7-Sep,9-Sep,6-Apr,5-May,6-Apr,28-29,13-12,6-May,17-23,Mar-00,7-Jul,11-Jun,7-Aug,5-Jun,9-Jun,2-May
16,Portland Trail Blazers,41-41,25-16,16-25,13-17,28-24,5-May,7-Mar,5-May,5-Nov,9-Sep,10-Aug,23-33,18-8,11-Jul,18-16,1-Feb,9-Aug,11-Apr,7-Aug,7-Feb,13-3,3-Apr
17,Miami Heat,41-41,23-18,18-23,27-25,14-16,11-Jul,7-Nov,7-Sep,6-Apr,5-May,5-May,25-32,16-9,6-Aug,19-13,2-Jan,10-May,12-Apr,6-Sep,3-Aug,6-Oct,2-Apr
18,Denver Nuggets,40-42,22-19,18-23,16-14,24-28,4-Jun,3-Jul,7-Mar,10-Jun,6-Dec,12-Jun,25-31,15-11,10-May,24-19,2-Jan,9-Jun,8-Jul,7-Jul,7-Jun,7-Aug,2-May
19,Detroit Pistons,37-45,24-17,13-28,21-31,16-14,11-Jul,11-May,9-Sep,3-Jul,6-Apr,5-May,27-30,15-Oct,7-May,23-26,1-Feb,9-Aug,10-May,7-Jun,4-Aug,11-Jun,3-Feb
20,Charlotte Hornets,36-46,22-19,14-27,22-30,14-16,11-Jul,13-May,6-Oct,3-Jul,6-Apr,7-Mar,24-32,14-Dec,0-9,19-18,1-Feb,7-Aug,7-Sep,11-Apr,8-Mar,7-Sep,5-Jan
21,New Orleans Pelicans,34-48,21-20,13-28,14-16,20-32,5-May,6-Apr,5-May,11-Jul,11-Jul,10-Jun,23-34,14-Nov,6-Jul,17-22,0-3,9-Jul,9-Jul,9-May,7-Apr,6-Oct,5-Jan
22,Dallas Mavericks,33-49,21-20,29-Dec,14-16,19-33,6-Apr,4-Jun,6-Apr,12-Jun,10-Aug,11-May,22-34,15-Nov,6-Apr,14-26,0-3,11-Mar,10-Jul,6-Aug,5-Jun,9-Jul,5-Feb
23,Sacramento Kings,32-50,17-24,15-26,19-Nov,21-31,5-May,7-Mar,7-Mar,10-Aug,9-Jul,12-Jun,24-33,17-Aug,6-Oct,27-Sep,2-Feb,9-May,8-Jul,11-May,5-Jun,12-Apr,3-Mar
24,Minnesota Timberwolves,31-51,20-21,30-Nov,13-17,18-34,7-Mar,6-Apr,4-Jun,11-May,9-Sep,14-Apr,22-35,16-Sep,10-Jul,18-19,0-2,11-May,9-Jun,7-Aug,7-May,8-Jun,7-Jan
25,New York Knicks,31-51,19-22,29-Dec,22-30,21-Sep,11-May,9-Sep,10-Aug,7-Mar,7-Mar,7-Mar,23-34,17-Aug,10-Jul,25-Oct,1-Jan,8-Aug,8-Jul,12-May,7-Mar,11-May,4-Feb
26,Orlando Magic,29-53,16-25,13-28,20-32,21-Sep,10-Aug,13-May,9-Jul,8-Feb,7-Mar,6-Apr,21-37,16-Aug,5-May,Oct-32,0-3,8-Jul,8-Aug,12-Apr,7-Mar,11-May,4-Feb
27,Philadelphia 76ers,28-54,17-24,30-Nov,19-33,21-Sep,9-Jul,13-May,11-Jul,7-Mar,6-Apr,8-Feb,21-35,19-Jul,8-Sep,29-Jul,0-2,12-Apr,10-Apr,5-Oct,8-Apr,11-Jun,0-6
28,Los Angeles Lakers,26-56,17-24,Sep-32,20-Oct,16-36,7-Mar,7-Mar,6-Apr,14-Apr,10-Jun,12-Jun,19-39,17-Jul,4-Feb,14-31,2-Jan,8-Sep,14-Feb,10-May,8-Feb,12-Feb,2-May
29,Phoenix Suns,24-58,15-26,Sep-32,13-17,Nov-41,4-Jun,7-Mar,6-Apr,15-Mar,13-Mar,13-May,18-39,19-Jun,5-Sep,Jul-32,0-4,9-Jun,11-Apr,9-May,9-Mar,12-Apr,4-Feb
30,Brooklyn Nets,20-62,13-28,Jul-34,Nov-41,21-Sep,13-Mar,14-Apr,14-Apr,8-Feb,5-May,8-Feb,Sep-47,15-Nov,6-Mar,30-Sep,3-Jan,9-Apr,12-Mar,15-Jan,0-10,10-Jul,3-Apr